,Close,High,Low,Open,Volume
2017-01-12 14:50:00,804.58,805.3,804.075,804.92,6235.0
2017-01-12 14:55:00,804.79,804.909,804.5,804.54,3946.0
2017-01-12 15:00:00,805.54,805.54,804.8127,804.91,5851.0
2017-01-12 15:05:00,804.8,805.59,804.8,805.26,4250.0
2017-01-12 15:10:00,805.06,805.1,804.7518,804.84,3427.0
2017-01-12 15:15:00,805.0492,805.4,804.8,805.07,4987.0
2017-01-12 15:20:00,804.74,805.18,804.67,805.01,4858.0
2017-01-12 15:25:00,805.08,805.298,804.865,804.88,3702.0
2017-01-12 15:30:00,804.98,805.11,804.6,805.0,2720.0
2017-01-12 15:35:00,805.45,805.6,804.995,805.02,7093.0
2017-01-12 15:40:00,805.8,805.8,805.0,805.5,11226.0
2017-01-12 15:45:00,805.5406,805.93,805.47,805.86,9160.0
2017-01-12 15:50:00,806.0,806.32,805.42,805.58,12311.0
2017-01-12 15:55:00,806.37,806.5,806.06,806.23,10986.0
2017-01-12 16:00:00,806.34,807.39,806.07,806.35,51250.0
2017-01-12 16:05:00,807.0,807.0,806.36,806.36,65727.0
2017-01-12 16:30:00,806.56,806.56,806.56,806.56,100.0
2017-01-12 16:45:00,806.0,806.0,806.0,806.0,100.0
2017-01-13 07:25:00,807.33,807.33,807.33,807.33,102.0
2017-01-13 08:25:00,807.5,808.0,807.5,808.0,700.0
2017-01-13 08:30:00,807.5,807.5,807.5,807.5,100.0
2017-01-13 08:45:00,808.0,808.0,808.0,808.0,100.0
2017-01-13 09:20:00,809.67,809.67,809.0,809.0,1133.0
2017-01-13 09:30:00,807.49,807.5,807.49,807.5,200.0
2017-01-13 09:35:00,809.0,809.25,806.69,807.48,80520.0
2017-01-13 09:40:00,808.935,809.34,808.45,808.7764,46365.0
2017-01-13 09:45:00,809.67,810.4,808.8578,809.04,26739.0
2017-01-13 09:50:00,810.57,811.2244,809.7,810.3499,12191.0
2017-01-13 09:55:00,809.7,811.0871,809.7,810.78,20030.0
2017-01-13 10:00:00,809.27,809.88,808.8778,809.88,13119.0
2017-01-13 10:05:00,808.32,809.34,807.74,809.04,10861.0
2017-01-13 10:10:00,808.32,808.9,808.11,808.32,6503.0
