,Open,High,Low,Close,Volume
2017-04-05 12:30:00,20.45,20.45,20.44,20.44,1600.0
2017-04-05 12:35:00,20.445,20.445,20.43,20.433,5922.0
2017-04-05 12:40:00,20.43,20.4369,20.43,20.435,700.0
2017-04-05 12:45:00,20.43,20.45,20.43,20.44,3795.0
2017-04-05 12:50:00,20.45,20.45,20.44,20.45,1120.0
2017-04-05 12:55:00,20.45,20.46,20.44,20.46,3400.0
2017-04-05 13:00:00,20.46,20.46,20.45,20.46,2408.0
2017-04-05 13:05:00,20.46,20.465,20.455,20.46,2786.0
2017-04-05 13:10:00,20.465,20.47,20.45,20.45,4590.0
2017-04-05 13:15:00,20.46,20.46,20.45,20.4536,3621.0
2017-04-05 13:20:00,20.4591,20.4591,20.44,20.44,1500.0
2017-04-05 13:25:00,20.44,20.46,20.44,20.445,3923.0
2017-04-05 13:30:00,20.45,20.46,20.45,20.45,2300.0
2017-04-05 13:35:00,20.45,20.46,20.45,20.46,1700.0
2017-04-05 13:40:00,20.46,20.47,20.46,20.47,19000.0
2017-04-05 13:45:00,20.465,20.465,20.45,20.455,1100.0
2017-04-05 13:50:00,20.45,20.46,20.45,20.46,1200.0
2017-04-05 13:55:00,20.45,20.46,20.44,20.44,8720.0
2017-04-05 14:00:00,20.4467,20.47,20.44,20.47,5300.0
2017-04-05 14:05:00,20.46,20.465,20.45,20.45,9479.0
2017-04-05 14:10:00,20.46,20.465,20.45,20.46,3786.0
2017-04-05 14:15:00,20.465,20.4665,20.46,20.46,2145.0
2017-04-05 14:20:00,20.465,20.47,20.46,20.47,8100.0
2017-04-05 14:25:00,20.465,20.48,20.46,20.475,5735.0
2017-04-05 14:30:00,20.47,20.48,20.47,20.48,1722.0
2017-04-05 14:35:00,20.48,20.48,20.47,20.475,6328.0
2017-04-05 14:40:00,20.47,20.475,20.42,20.42,14661.0
2017-04-05 14:45:00,20.42,20.429,20.42,20.429,2500.0
2017-04-05 14:50:00,20.42,20.42,20.37,20.3754,6401.0
2017-04-05 14:55:00,20.375,20.38,20.33,20.3507,19577.0
2017-04-05 15:00:00,20.36,20.3766,20.35,20.355,5410.0
2017-04-05 15:05:00,20.35,20.3999,20.35,20.3999,6282.0
2017-04-05 15:10:00,20.4,20.43,20.4,20.4258,4260.0
2017-04-05 15:15:00,20.43,20.43,20.36,20.365,16703.0
2017-04-05 15:20:00,20.36,20.365,20.35,20.35,7329.0
2017-04-05 15:25:00,20.35,20.39,20.35,20.3801,9303.0
2017-04-05 15:30:00,20.3874,20.415,20.38,20.41,10700.0
2017-04-05 15:35:00,20.42,20.42,20.34,20.345,17527.0
2017-04-05 15:40:00,20.35,20.36,20.32,20.36,11892.0
2017-04-05 15:45:00,20.36,20.37,20.355,20.365,15863.0
2017-04-05 15:50:00,20.36,20.37,20.34,20.35,29174.0
2017-04-05 15:55:00,20.36,20.41,20.35,20.41,18003.0
2017-04-05 16:00:00,20.41,20.42,20.38,20.38,51094.0
2017-04-05 16:05:00,20.39,20.39,20.39,20.39,200960.0
2017-04-05 17:45:00,20.39,20.39,20.39,20.39,1000.0
2017-04-06 09:35:00,20.37,20.39,20.3,20.32,6757.0
2017-04-06 09:40:00,20.31,20.35,20.31,20.33,1400.0
2017-04-06 09:45:00,20.33,20.38,20.31,20.31,2543.0
2017-04-06 09:50:00,20.31,20.33,20.3001,20.32,2300.0
2017-04-06 09:55:00,20.33,20.37,20.32,20.34,3599.0
2017-04-06 10:00:00,20.34,20.34,20.31,20.31,2826.0
2017-04-06 10:05:00,20.301,20.31,20.27,20.27,4454.0
2017-04-06 10:10:00,20.26,20.26,20.21,20.21,4600.0
2017-04-06 10:15:00,20.21,20.22,20.18,20.18,5900.0
2017-04-06 10:20:00,20.19,20.19,20.14,20.14,5750.0
2017-04-06 10:25:00,20.14,20.17,20.14,20.1644,4244.0
2017-04-06 10:30:00,20.17,20.2,20.16,20.2,6190.0
2017-04-06 10:35:00,20.2099,20.26,20.2099,20.26,3539.0
2017-04-06 10:40:00,20.26,20.3,20.26,20.29,7349.0
2017-04-06 10:45:00,20.28,20.2999,20.27,20.2999,3405.0
2017-04-06 10:50:00,20.297,20.3,20.29,20.295,1125.0
2017-04-06 10:55:00,20.29,20.3,20.28,20.29,3213.0
2017-04-06 11:00:00,20.29,20.35,20.29,20.345,4545.0
2017-04-06 11:05:00,20.345,20.35,20.34,20.34,2817.0
2017-04-06 11:10:00,20.345,20.345,20.3237,20.335,6150.0
2017-04-06 11:15:00,20.34,20.36,20.34,20.36,1900.0
2017-04-06 11:20:00,20.36,20.38,20.36,20.38,2200.0
2017-04-06 11:25:00,20.38,20.38,20.37,20.375,4890.0
2017-04-06 11:30:00,20.38,20.38,20.37,20.37,1600.0
